CASENUM,VEH_NO,MAKE,MAKENAME,MOD_YEAR,MODEL,BODY_TYP,BODY_TYPNAME,VPICBODYCLASS,VPICBODYCLASSNAME,IMPACT1,IMPACT1NAME,P_CRASH1,P_CRASH1NAME,ACC_CONFIG,ACC_CONFIGNAME,VSPD_LIM,TRAV_SP,ROLLOVER,ROLLOVERNAME,NUMOCCS,VSURCOND,VSURCONDNAME,VEH_ALCH,VEH_ALCHNAME,AIRBAGS_DEPLOYED_COUNT,TOTAL_OCCUPANTS,DEPLOYMENT_RATE,AVG_AGE,PREDOMINANT_SEX,MAX_INJURY_SEV,ANY_DRINKING,ANY_ALCOHOL,FRONT_MOST_SEAT_POS,ANY_UNRESTRAINED,MAX_EJECTION,ALL_AIRBAGS_DEPLOYED,REGIONNAME,URBANICITYNAME,MONTH,MONTHNAME,DAY_WEEK,DAY_WEEKNAME,YEAR,HOUR,HOURNAME,MINUTE,MINUTENAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,TYP_INT,TYP_INTNAME,REL_ROAD,REL_ROADNAME,WEATHER,WEATHERNAME,LGT_COND,LGT_CONDNAME,NUM_INJ,VEHICLE_AGE,FRONTAL_IMPACT,HIGH_SPEED_CRASH,MIN_AIRBAG_SPEED,CRASH_SEVERITY_INDEX,predicted_target,predicted_probability,actual
202304889052,2,7,Dodge,2015,482,34,Light Pickup,60,Pickup,6,6 Clock Point,2,Decelerating in Road,201,"Same Trafficway, Same Direction-Rear End, Trailing Vehicle",65,35,0,No Rollover,1,1,Dry,2,No Alcohol Involved,0,1,0.0,59.0,1,1,0,0,11,0,0,0,"West (MT, ID, WA, OR, CA, NV, NM, AZ, UT, CO, WY, AK, HI)",Urban Area,4,April,2,Monday,2023,15,3:00pm-3:59pm,10,10,12,Motor Vehicle In-Transport,1,Front-to-Rear,1,Not an Intersection,1,On Roadway,1,Clear,1,Daylight,1,8,1,1,1,20.0,0,0.025548173,0
202304685997,2,49,Toyota,2014,32,4,"4-door sedan, hardtop",13,Sedan/Saloon,6,6 Clock Point,1,Going Straight,201,"Same Trafficway, Same Direction-Rear End, Trailing Vehicle",70,73,0,No Rollover,1,1,Dry,2,No Alcohol Involved,0,1,0.0,34.0,1,3,0,0,11,0,0,0,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",Rural Area,1,January,7,Saturday,2023,3,3:00am-3:59am,25,25,12,Motor Vehicle In-Transport,1,Front-to-Rear,1,Not an Intersection,1,On Roadway,1,Clear,2,Dark - Not Lighted,2,9,1,1,1,49.333333333333336,0,0.18150635,0
202304951547,2,7,Dodge,2016,482,34,Light Pickup,60,Pickup,12,12 Clock Point,1,Going Straight,402,"Changing Trafficway, Vehicle Turning-Turn Across Path, Initial Opposite Directions [Going Straight]",35,20,0,No Rollover,1,1,Dry,2,No Alcohol Involved,0,1,0.0,83.0,1,0,0,8,11,0,0,0,"West (MT, ID, WA, OR, CA, NV, NM, AZ, UT, CO, WY, AK, HI)",Urban Area,4,April,5,Thursday,2023,7,7:00am-7:59am,43,43,12,Motor Vehicle In-Transport,6,Angle,2,Four-Way Intersection,1,On Roadway,1,Clear,1,Daylight,0,7,1,0,0,6.666666666666667,0,0.15934685,0
202304937023,2,7,Dodge,2019,880,67,"Medium/heavy Pickup (GVWR greater than 10,000 lbs.)",60,Pickup,11,11 Clock Point,1,Going Straight,998,Other Crash Type,65,65,0,No Rollover,1,1,Dry,2,No Alcohol Involved,0,1,0.0,35.0,1,0,0,2,11,0,0,0,"Midwest (OH, IN, IL, MI, WI, MN, ND, SD, NE, IA, MO, KS)",Rural Area,4,April,7,Saturday,2023,19,7:00pm-7:59pm,34,34,12,Motor Vehicle In-Transport,7,Sideswipe - Same Direction,1,Not an Intersection,1,On Roadway,1,Clear,5,Dusk,0,4,1,1,1,21.666666666666668,0,0.04830831,0
202305112426,1,23,GMC,2001,421,15,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",7,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),0,Non-Collision,1,Going Straight,101,Single Driver-Right Roadside Departure,70,60,3,Rollover,1,1,Dry,2,No Alcohol Involved,0,1,0.0,35.0,1,1,0,0,11,0,0,0,"West (MT, ID, WA, OR, CA, NV, NM, AZ, UT, CO, WY, AK, HI)",Urban Area,7,July,5,Thursday,2023,5,5:00am-5:59am,10,10,1,Rollover/Overturn,0,The First Harmful Event was Not a Collision with a Motor Vehicle In-Transport,1,Not an Intersection,4,On Roadside,1,Clear,1,Daylight,1,22,0,1,1,28.33333333333333,0,0.102966234,0
202305483849,1,37,Honda,2018,31,4,"4-door sedan, hardtop",13,Sedan/Saloon,1,1 Clock Point,1,Going Straight,101,Single Driver-Right Roadside Departure,55,55,0,No Rollover,1,1,Dry,1,Alcohol Involved,1,1,1.0,34.0,1,0,1,2,11,0,0,1,"Midwest (OH, IN, IL, MI, WI, MN, ND, SD, NE, IA, MO, KS)",Rural Area,12,December,3,Tuesday,2023,20,8:00pm-8:59pm,59,59,34,Ditch,0,The First Harmful Event was Not a Collision with a Motor Vehicle In-Transport,1,Not an Intersection,4,On Roadside,1,Clear,2,Dark - Not Lighted,0,5,1,1,1,18.33333333333333,1,0.567445,1
202305490989,2,55,Hyundai,2012,33,4,"4-door sedan, hardtop",13,Sedan/Saloon,6,6 Clock Point,1,Going Straight,201,"Same Trafficway, Same Direction-Rear End, Trailing Vehicle",55,10,0,No Rollover,1,1,Dry,2,No Alcohol Involved,1,1,1.0,22.0,2,0,0,0,11,0,0,1,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",Urban Area,10,October,4,Wednesday,2023,6,6:00am-6:59am,39,39,12,Motor Vehicle In-Transport,1,Front-to-Rear,1,Not an Intersection,1,On Roadway,10,Cloudy,4,Dawn,0,11,1,0,0,3.333333333333333,0,0.08739787,1
202305051348,1,35,Nissan/Datsun,2015,51,6,Station Wagon (excluding van and truck based),8,Crossover Utility Vehicle (CUV),4,4 Clock Point,3,Accelerating in Road,502,"Intersecting Paths-Straight Paths, Struck on the Right",30,15,0,No Rollover,2,2,Wet,2,No Alcohol Involved,0,2,0.0,54.5,1,0,8,8,11,0,0,0,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",Urban Area,4,April,2,Monday,2023,7,7:00am-7:59am,23,23,12,Motor Vehicle In-Transport,6,Angle,2,Four-Way Intersection,1,On Roadway,10,Cloudy,1,Daylight,0,8,1,0,0,5.0,0,0.25150242,0
202305202386,1,59,Lexus,2021,403,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",7,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12,12 Clock Point,1,Going Straight,202,"Same Trafficway, Same Direction-Rear End, Lead Vehicle",70,50,0,No Rollover,1,1,Dry,2,No Alcohol Involved,0,1,0.0,65.0,1,0,0,0,11,0,0,0,"West (MT, ID, WA, OR, CA, NV, NM, AZ, UT, CO, WY, AK, HI)",Urban Area,8,August,5,Thursday,2023,13,1:00pm-1:59pm,40,40,12,Motor Vehicle In-Transport,1,Front-to-Rear,1,Not an Intersection,1,On Roadway,1,Clear,1,Daylight,0,2,1,1,1,16.666666666666664,0,0.43296131,0
202305056549,1,7,Dodge,1999,482,34,Light Pickup,60,Pickup,12,12 Clock Point,1,Going Straight,202,"Same Trafficway, Same Direction-Rear End, Lead Vehicle",35,30,0,No Rollover,1,2,Wet,9,Reported as Unknown,0,1,0.0,22.0,1,0,8,0,11,0,0,0,"Midwest (OH, IN, IL, MI, WI, MN, ND, SD, NE, IA, MO, KS)",Urban Area,6,June,2,Monday,2023,16,4:00pm-4:59pm,59,59,12,Motor Vehicle In-Transport,1,Front-to-Rear,2,Four-Way Intersection,1,On Roadway,2,Rain,1,Daylight,0,24,1,0,1,10.0,0,0.09472705,0
202305294465,1,63,KIA,2019,38,4,"4-door sedan, hardtop",13,Sedan/Saloon,12,12 Clock Point,14,Negotiating a Curve,101,Single Driver-Right Roadside Departure,35,35,0,No Rollover,1,1,Dry,9,Reported as Unknown,1,1,1.0,68.0,1,2,8,0,11,0,0,1,"Midwest (OH, IN, IL, MI, WI, MN, ND, SD, NE, IA, MO, KS)",Urban Area,10,October,2,Monday,2023,14,2:00pm-2:59pm,7,7,30,Utility Pole/Light Support,0,The First Harmful Event was Not a Collision with a Motor Vehicle In-Transport,1,Not an Intersection,4,On Roadside,10,Cloudy,1,Daylight,1,4,1,1,1,28.33333333333333,1,0.6165744,1
202304938660,1,59,Lexus,2005,31,4,"4-door sedan, hardtop",13,Sedan/Saloon,11,11 Clock Point,15,Changing Lanes,208,"Same Trafficway, Same Direction-Sideswipe, Angle, Vehicle on Right",45,45,0,No Rollover,1,1,Dry,9,Reported as Unknown,0,1,0.0,42.0,2,0,8,8,11,0,0,0,"West (MT, ID, WA, OR, CA, NV, NM, AZ, UT, CO, WY, AK, HI)",Urban Area,5,May,3,Tuesday,2023,14,2:00pm-2:59pm,54,54,12,Motor Vehicle In-Transport,7,Sideswipe - Same Direction,1,Not an Intersection,1,On Roadway,1,Clear,1,Daylight,0,18,1,1,1,15.0,0,0.04359854,0
202305065250,2,41,Mazda,2017,51,4,"4-door sedan, hardtop",13,Sedan/Saloon,12,12 Clock Point,1,Going Straight,993,Other Vehicle,25,5,0,No Rollover,1,1,Dry,2,No Alcohol Involved,0,1,0.0,44.0,2,0,0,0,11,0,0,0,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",Rural Area,6,June,2,Monday,2023,12,12:00pm-12:59pm,13,13,12,Motor Vehicle In-Transport,1,Front-to-Rear,1,Not an Intersection,1,On Roadway,1,Clear,1,Daylight,0,6,1,0,0,1.6666666666666667,0,0.022454327,0
202304816536,1,49,Toyota,1995,38,2,"2-door sedan,hardtop,coupe",13,Sedan/Saloon,12,12 Clock Point,1,Going Straight,202,"Same Trafficway, Same Direction-Rear End, Lead Vehicle",65,65,0,No Rollover,1,1,Dry,2,No Alcohol Involved,1,1,1.0,47.0,1,2,0,0,11,0,0,1,"West (MT, ID, WA, OR, CA, NV, NM, AZ, UT, CO, WY, AK, HI)",Urban Area,3,March,4,Wednesday,2023,19,7:00pm-7:59pm,50,50,12,Motor Vehicle In-Transport,1,Front-to-Rear,1,Not an Intersection,1,On Roadway,1,Clear,3,Dark - Lighted,2,28,1,1,1,38.33333333333333,0,0.4910893,1
